Name,ScopeViewControl,
File,C:\Users\trendahl\Desktop\TMO_HOMS\data_files\accel2_1_micron_adj_3_26_19.csv,
Starttime of export,131981207859780000,Tuesday, March 26, 2019,17:39:45.978
Endtime of export,131981207940500000,Tuesday, March 26, 2019,17:39:54.050


Name,ActPos,Name,SetPos,Name,ActVelo,Name,SetVelo,Name,ActAcc,Name,SetAcc,Name,nAbsGantryErr,Name,HasJob
SymbolComment,,SymbolComment,,SymbolComment,,SymbolComment,,SymbolComment,,SymbolComment,,SymbolComment,,SymbolComment, StateDWord bit 8 
Data-Type,REAL64,Data-Type,REAL64,Data-Type,REAL64,Data-Type,REAL64,Data-Type,REAL64,Data-Type,REAL64,Data-Type,UINT64,Data-Type,BIT
SampleTime,2,SampleTime,2,SampleTime,2,SampleTime,2,SampleTime,2,SampleTime,2,SampleTime,10,SampleTime,10
VariableSize,8,VariableSize,8,VariableSize,8,VariableSize,8,VariableSize,8,VariableSize,8,VariableSize,8,VariableSize,1
SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True
IndexGroup,16641,IndexGroup,16641,IndexGroup,16641,IndexGroup,16641,IndexGroup,16641,IndexGroup,16641,IndexGroup,16448,IndexGroup,16448
IndexOffset,65538,IndexOffset,10,IndexOffset,65541,IndexOffset,14,IndexOffset,65542,IndexOffset,15,IndexOffset,516512,IndexOffset,514517
SymbolName,Axes.Axis 1.ActPos,SymbolName,Axes.Axis 1.SetPos,SymbolName,Axes.Axis 1.ActVelo,SymbolName,Axes.Axis 1.SetVelo,SymbolName,Axes.Axis 1.ActAcc,SymbolName,Axes.Axis 1.SetAcc,SymbolName,MAIN.nAbsGantryErr,SymbolName,MAIN.Axis1.Status.HasJob
NetID,5.59.121.62.1.1,NetID,5.59.121.62.1.1,NetID,5.59.121.62.1.1,NetID,5.59.121.62.1.1,NetID,5.59.121.62.1.1,NetID,5.59.121.62.1.1,NetID,5.59.121.62.1.1,NetID,5.59.121.62.1.1
Port,501,Port,501,Port,501,Port,501,Port,501,Port,501,Port,851,Port,851
Offset,0,Offset,0,Offset,0,Offset,0,Offset,0,Offset,0,Offset,0,Offset,0
ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1
BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0


0,24.000004999999998,0,24,0,0.00039687356156954868,0,0,0,0,0,0,0,56,0,0
2,24.000002,2,24,2,8.0727968013694323E-05,2,0,2,0,2,0,10,48,10,0
4,23.999996,4,24,4,-0.00043272669324378055,4,0,4,0,4,0,20,34,20,0
6,23.999992,6,24,6,-0.00069393891108307645,6,0,6,0,6,0,30,46,30,0
8,24.000007999999998,8,24,8,0.00075505090732108063,8,0,8,0,8,0,40,41,40,0
10,24.000000999999997,10,24,10,4.5875756093378354E-05,10,0,10,0,10,0,50,43,50,0
12,23.999997,12,24,12,-0.00029510353633938454,12,0,12,0,12,0,60,47,60,0
14,24.000006,14,24,14,0.00050408038626663506,14,0,14,0,14,0,70,48,70,0
16,24.00001,16,24,16,0.00075340032193545528,16,0,16,0,16,0,80,56,80,0
