Name,ScopeViewControl,
File,C:\Users\trendahl\Desktop\TMO_HOMS\data_files\accel2_kvstan10_kvmove1_3_19_19.csv,
Starttime of export,131976851644310000,Thursday, March 21, 2019,16:39:24.431
Endtime of export,131976852045210000,Thursday, March 21, 2019,16:40:04.521


Name,ActPos,Name,SetPos,Name,ActVelo,Name,SetVelo,Name,ActAcc,Name,SetAcc,Name,nAbsGantryErr,Name,HasJob
SymbolComment,,SymbolComment,,SymbolComment,,SymbolComment,,SymbolComment,,SymbolComment,,SymbolComment,,SymbolComment, StateDWord bit 8 
Data-Type,REAL64,Data-Type,REAL64,Data-Type,REAL64,Data-Type,REAL64,Data-Type,REAL64,Data-Type,REAL64,Data-Type,UINT64,Data-Type,BIT
SampleTime,2,SampleTime,2,SampleTime,2,SampleTime,2,SampleTime,2,SampleTime,2,SampleTime,10,SampleTime,10
VariableSize,8,VariableSize,8,VariableSize,8,VariableSize,8,VariableSize,8,VariableSize,8,VariableSize,8,VariableSize,1
SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True
IndexGroup,16641,IndexGroup,16641,IndexGroup,16641,IndexGroup,16641,IndexGroup,16641,IndexGroup,16641,IndexGroup,16448,IndexGroup,16448
IndexOffset,65538,IndexOffset,10,IndexOffset,65541,IndexOffset,14,IndexOffset,65542,IndexOffset,15,IndexOffset,516512,IndexOffset,514517
SymbolName,Axes.Axis 1.ActPos,SymbolName,Axes.Axis 1.SetPos,SymbolName,Axes.Axis 1.ActVelo,SymbolName,Axes.Axis 1.SetVelo,SymbolName,Axes.Axis 1.ActAcc,SymbolName,Axes.Axis 1.SetAcc,SymbolName,MAIN.nAbsGantryErr,SymbolName,MAIN.Axis1.Status.HasJob
NetID,5.59.121.62.1.1,NetID,5.59.121.62.1.1,NetID,5.59.121.62.1.1,NetID,5.59.121.62.1.1,NetID,5.59.121.62.1.1,NetID,5.59.121.62.1.1,NetID,5.59.121.62.1.1,NetID,5.59.121.62.1.1
Port,501,Port,501,Port,501,Port,501,Port,501,Port,501,Port,851,Port,851
Offset,0,Offset,0,Offset,0,Offset,0,Offset,0,Offset,0,Offset,0,Offset,0
ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1
BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0


-1,24.000000999999997,-1,24,-1,-0.00032411982713971777,-1,0,-1,0,-1,0,0,13,0,0
1,24.000009,1,24,1,0.00039656681081008715,1,0,1,0,1,0,10,17,10,0
3,23.999999,3,24,3,-0.00050286099096004584,3,0,3,0,3,0,20,1,20,0
5,23.999995,5,24,5,-0.00075238415917996417,5,0,5,0,5,0,30,5,30,0
7,23.999993,7,24,7,-0.0007936534658585701,7,0,7,0,7,0,40,20,40,0
9,24.000007999999998,9,24,9,0.00058862211158917292,9,0,9,0,9,0,50,10,50,0
11,23.999993999999997,11,24,11,-0.00067614824035740033,11,0,11,0,11,0,60,11,60,0
13,24.000003,13,24,13,0.00018654313321434793,13,0,13,0,13,0,70,11,70,0
15,23.999999,15,24,15,-0.00017788072236796937,15,0,15,0,15,0,80,4,80,0
